Qatar,Ecuador,6,23
Saad Al Sheeb,0,0,0,0,0,0,0,0,0,0
Ró-Ró,0,0,0,0,0,0,0,0,0,0
Abdelkarim Hassan,0,0,0,0,0,0,0,0,0,0
Tarek Salman,0,0,0,0,0,0,0,0,0,0
Musab Kheder,0,0,0,0,0,0,0,0,0,0
Homam Ahmed,0,0,0,0,0,0,0,0,0,0
Bassam Al-Rawi,0,0,0,0,0,0,0,0,0,0
Boualem Khoukhi,0,0,0,0,0,0,0,0,0,0
Mohammed Emad,0,0,0,0,0,0,0,0,0,0
Jassem Gaber,0,0,0,0,0,0,0,0,0,0
Mohammed Waad,0,0,0,0,0,0,0,0,0,0
Ali Assadalla,0,0,0,0,0,0,0,0,0,0
Karim Boudiaf,0,0,0,0,0,0,0,0,0,0
Ahmed Fadhel,0,0,0,0,0,0,0,0,0,0
Mostafa Tarek,0,0,0,0,0,0,0,0,0,0
Abdelrahman Moustafa,0,0,0,0,0,0,0,0,0,0
Osama Al-Tairi,0,0,0,0,0,0,0,0,0,0
Ahmed Alaaeldin,0,0,0,0,0,0,0,0,0,0
Mohammed Muntari,0,0,0,0,0,0,0,0,0,0
Hassan Al-Haydos,0,0,0,0,0,0,0,0,0,0
Akram Afif,0,0,0,0,0,0,0,0,0,0
Ismaeel Mohammad,0,0,0,0,0,0,0,0,0,0
Khalid Muneer,0,0,0,0,0,0,0,0,0,0
Yousef Hassan,0,0,0,0,0,0,0,0,0,0
Naif Al-Hadhrami,0,0,0,0,0,0,0,0,0,0
Yusuf Abdurisag,0,0,0,0,0,0,0,0,0,0
Alexander Domínguez,0,0,0,0,0,0,0,0,0,0
Hernán Galíndez,0,0,0,0,0,0,0,0,0,0
Gonzalo Valle,0,0,0,0,0,0,0,0,0,0
Pervis Estupiñán,0,0,0,0,0,0,0,0,0,0
Ángelo Preciado,0,0,0,0,0,0,0,0,0,0
Piero Hincapié,0,0,0,0,0,0,0,0,0,0
Xavier Arreaga,0,0,0,0,0,0,0,0,0,0
Byron Castillo,0,0,0,0,0,0,0,0,0,0
Diego Palacios,0,0,0,0,0,0,0,0,0,0
Fernando León,0,0,0,0,0,0,0,0,0,0
Jackson Porozo,0,0,0,0,0,0,0,0,0,0
William Pacho,0,0,0,0,0,0,0,0,0,0
Ángel Mena,0,0,0,0,0,0,0,0,0,0
Carlos Gruezo,0,0,0,0,0,0,0,0,0,0
Jhegson Méndez,0,0,0,0,0,0,0,0,0,0
Gonzalo Plata,0,0,0,0,0,0,0,0,0,0
Moisés Caicedo,0,0,0,0,0,0,0,0,0,0
Romario Ibarra,0,0,0,0,0,0,0,0,0,0
José Cifuentes,0,0,0,0,0,0,0,0,0,0
Jeremy Sarmiento,0,0,0,0,0,0,0,0,0,0
Nilson Angulo,0,0,0,0,0,0,0,0,0,0
Patrickson Delgado,0,0,0,0,0,0,0,0,0,0
Anthony Valencia,0,0,0,0,0,0,0,0,0,0
Enner Valencia,0,0,0,0,0,0,0,0,0,0
Michael Estrada,0,0,0,0,0,0,0,0,0,0
Djorkaeff Reasco,0,0,0,0,0,0,0,0,0,0
