Qatar,Senegal,1,300
Saad Al Sheeb,0,0,0,0,0,0,0,0,0,0
Ró-Ró,0,0,0,0,0,0,0,0,0,0
Abdelkarim Hassan,0,0,0,0,0,0,0,0,0,0
Tarek Salman,0,0,0,0,0,0,0,0,0,0
Musab Kheder,0,0,0,0,0,0,0,0,0,0
Homam Ahmed,0,0,0,0,0,0,0,0,0,0
Bassam Al-Rawi,0,0,0,0,0,0,0,0,0,0
Boualem Khoukhi,0,0,0,0,0,0,0,0,0,0
Mohammed Emad,0,0,0,0,0,0,0,0,0,0
Jassem Gaber,0,0,0,0,0,0,0,0,0,0
Mohammed Waad,0,0,0,0,0,0,0,0,0,0
Ali Assadalla,0,0,0,0,0,0,0,0,0,0
Karim Boudiaf,0,0,0,0,0,0,0,0,0,0
Ahmed Fadhel,0,0,0,0,0,0,0,0,0,0
Mostafa Tarek,0,0,0,0,0,0,0,0,0,0
Abdelrahman Moustafa,0,0,0,0,0,0,0,0,0,0
Osama Al-Tairi,0,0,0,0,0,0,0,0,0,0
Ahmed Alaaeldin,0,0,0,0,0,0,0,0,0,0
Mohammed Muntari,0,0,0,0,0,0,0,0,0,0
Hassan Al-Haydos,0,0,0,0,0,0,0,0,0,0
Akram Afif,0,0,0,0,0,0,0,0,0,0
Ismaeel Mohammad,0,0,0,0,0,0,0,0,0,0
Khalid Muneer,0,0,0,0,0,0,0,0,0,0
Yousef Hassan,0,0,0,0,0,0,0,0,0,0
Naif Al-Hadhrami,0,0,0,0,0,0,0,0,0,0
Yusuf Abdurisag,0,0,0,0,0,0,0,0,0,0
Seny Dieng,0,0,0,0,0,0,0,0,0,0
Alfred Gomis,0,0,0,0,0,0,0,0,0,0
Mory Diaw,0,0,0,0,0,0,0,0,0,0
Formose Mendy,0,0,0,0,0,0,0,0,0,0
Kalidou Koulibaly,0,0,0,0,0,0,0,0,0,0
Pape Abou Cissé,0,0,0,0,0,0,0,0,0,0
Abdou Diallo,0,0,0,0,0,0,0,0,0,0
Fodé Ballo-Touré,0,0,0,0,0,0,0,0,0,0
Moussa Niakhaté,0,0,0,0,0,0,0,0,0,0
Idrissa Gueye,0,0,0,0,0,0,0,0,0,0
Nampalys Mendy,0,0,0,0,0,0,0,0,0,0
Cheikhou Kouyaté,0,0,0,0,0,0,0,0,0,0
Pape Matar Sarr,0,0,0,0,0,0,0,0,0,0
Moustapha Name,0,0,0,0,0,0,0,0,0,0
Mamadou Loum,0,0,0,0,0,0,0,0,0,0
Pape Gueye,0,0,0,0,0,0,0,0,0,0
Boulaye Dia,0,0,0,0,0,0,0,0,0,0
Sadio Mané,0,0,0,0,0,0,0,0,0,0
Ismaïla Sarr,0,0,0,0,0,0,0,0,0,0
Bamba Dieng,0,0,0,0,0,0,0,0,0,0
Iliman Ndiaye,0,0,0,0,0,0,0,0,0,0
Nicolas Jackson,0,0,0,0,0,0,0,0,0,0
Demba Seck,0,0,0,0,0,0,0,0,0,0
